"CLUSTER","RMSE","MAE","R2","RE"
"1",1236.75740336488,437.399471625523,0.185311328521099,0.661738316265334
"2",12117.8578737436,515.673097489324,0.000360765132531894,1.06822933944771
"3",4.43806371991853e+25,1.28653039959436e+24,6.71752180413566e-05,0.692661720440914
"4",2125.86410910754,965.76864076378,0.359444458302566,0.654796801822901
"5",73.5236146977013,23.0135539908569,0.0601147392620816,0.825283071325302
"6",255.136085575816,103.779960466094,0.742375205208852,0.720444365673782
"NET",2.47640500282232e+25,4.00568073133767e+23,2.66722023166684e-05,0.752705631899707
