Variable,CLUSTER_1,CLUSTER_2,CLUSTER_3,CLUSTER_4,CLUSTER_5,CLUSTER_6
B7.B5,7.9624E-01,-4.8369E+00,0.0000E+00,1.6590E-01,0.0000E+00,0.0000E+00
B8.B5,0.0000E+00,2.3530E+00,-9.2873E-02,9.2364E-02,3.8223E+00,0.0000E+00
B8A.B5,-1.5042E+00,3.8313E+00,-2.8999E-01,-2.0804E-01,-5.7883E+00,0.0000E+00
B11.B5,-8.9621E-02,-2.8587E+00,0.0000E+00,8.9231E-03,0.0000E+00,0.0000E+00
B12.B5,3.7031E-02,0.0000E+00,0.0000E+00,-1.6613E-02,2.2616E+00,3.9594E-04
B7.B6,0.0000E+00,3.0524E+00,0.0000E+00,0.0000E+00,1.3984E-01,0.0000E+00
B8.B6,-1.2727E-01,1.9156E+00,0.0000E+00,0.0000E+00,-2.1004E-01,0.0000E+00
B8A.B6,-4.2344E-03,-4.7493E+00,-4.8448E-02,0.0000E+00,0.0000E+00,0.0000E+00
B11.B6,-1.1915E-05,3.1817E-01,0.0000E+00,0.0000E+00,-1.5212E-06,0.0000E+00
B12.B6,5.3696E-03,0.0000E+00,0.0000E+00,0.0000E+00,-1.2002E-02,0.0000E+00
B8.B7,0.0000E+00,-1.1968E+00,-1.9965E-01,-1.3173E-01,-1.1143E+00,0.0000E+00
B8A.B7,2.8866E-01,0.0000E+00,0.0000E+00,1.1706E-01,5.5767E-01,0.0000E+00
B11.B7,-3.5895E-03,-2.0795E-01,3.8081E-03,1.9595E-03,0.0000E+00,0.0000E+00
B12.B7,1.0209E-03,0.0000E+00,0.0000E+00,1.1855E-03,1.7676E-02,1.4580E-05
B8A.B8,-5.7018E-01,1.0709E+00,2.3072E-01,-2.0098E-02,5.3438E-01,-7.0008E-02
B11.B8,6.8718E-04,1.5100E+00,0.0000E+00,-3.5540E-03,-6.6952E-03,0.0000E+00
B12.B8,5.8313E-03,-1.5822E+00,-1.3661E-03,4.2673E-03,-7.8274E-03,0.0000E+00
B11.B8A,-7.1424E-03,1.3039E+00,1.3071E-03,0.0000E+00,1.5164E-03,3.1030E-04
B12.B8A,2.1957E-03,-1.9071E+00,0.0000E+00,-1.3749E-03,0.0000E+00,0.0000E+00
B12.B11,-2.0370E-02,-1.5814E+00,0.0000E+00,5.5449E-03,1.1038E-02,2.6730E-01
