"","dam_name","median_before","median_after","trapping_efficiency_pct"
"1","West Point",4703.84465661685,1279.46397931293,72.7996123870051
"2","Walter F. George",4717.38173004078,1806.41998771728,61.7071483485467
"3","George W. Andrews",3288.14424804873,2857.62404548902,13.0931057180715
